,Player_Name,Matches_Played,Kills,Deaths,Assists,Damage_Dealt,Headshots,Wins,Top_10s,Revives,Distance_Traveled,Weapons_Used,Time_Survived,Rank
112,SpectralRogue,245,642,148,96,15432,218,34,115,57,61784,11,25967,Platinum
113,BlazingRaptor,296,786,192,131,17845,246,40,138,66,68876,13,29245,Diamond
114,EternalShadow,209,579,135,88,14267,203,29,101,51,59987,10,25046,Platinum
115,WickedStrider,232,619,154,100,14976,213,32,110,53,61587,11,25789,Diamond
116,FrostFire,191,501,114,73,12678,184,26,88,44,56489,10,23746,Gold
117,CrimsonStorm,226,638,159,105,15694,223,34,117,57,61987,11,26345,Platinum
118,RuthlessReaper,198,512,103,68,12987,186,24,84,42,54278,10,22678,Gold
119,VenomousViper,246,674,163,107,16056,219,35,120,58,62894,11,26746,Platinum
120,FrostFury,216,553,129,81,13587,191,29,99,49,59987,10,25056,Platinum
121,ShadowBlade,267,702,178,116,16687,227,36,125,62,65789,12,27546,Diamond
122,RapidPhantom,285,729,185,127,17568,238,38,130,65,67689,13,28456,Diamond
123,ViperStrike,202,533,110,72,13157,189,28,96,47,55478,10,23156,Platinum
124,EternalBlaze,226,622,140,96,14986,215,33,109,54,61187,11,25789,Platinum
125,Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
126,LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
127,Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
128,AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
129,RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
130,SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
131,CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
132,VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
133,AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
134,FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
135,TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
136,ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
137,PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
138,VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
139,EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
140,NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
141,SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
142,SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
143,EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
144,StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
145,LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
146,RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
147,FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
148,MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
149,InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
150,Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
151,LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
152,Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
153,AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
154,RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
155,SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
156,CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
157,VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
158,AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
159,FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
160,TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
161,ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
162,PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
163,VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
164,EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
165,NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
166,SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
167,SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
168,EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
169,StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
170,LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
171,RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
172,FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
173,MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
174,InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
175,Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
176,LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
177,Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
178,AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
179,RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
180,SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
181,CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
182,VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
183,AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
184,FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
185,TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
186,ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
187,PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
188,VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
189,EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
190,NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
191,SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
192,SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
193,EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
194,StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
195,LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
196,RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
197,FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
198,MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
199,InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
200,BlazeRanger,225,603,139,93,14678,207,31,106,52,60967,11,25479,Platinum
201,RagingFire,239,625,142,97,15123,218,33,110,55,61976,11,25578,Platinum
202,ShadowDancer,242,662,165,110,15789,225,35,118,59,62867,12,26589,Diamond
203,PhoenixWings,226,617,136,89,14456,201,30,105,53,60487,11,25267,Platinum
204,IceStorm,218,589,127,83,13987,205,29,98,50,59967,10,24878,Platinum
205,MoonlitSorcerer,221,598,150,99,15087,213,32,108,54,61489,11,25979,Platinum
206,DarkReaper,197,511,104,68,12689,190,26,85,43,55576,10,23467,Gold
207,CosmicGhost,239,655,170,112,15567,221,34,115,56,62367,11,26078,Platinum
208,StormRider,206,542,124,81,13345,194,29,97,49,58678,10,24789,Platinum
209,FlareRogue,215,561,118,79,13678,197,30,100,50,59789,10,25168,Gold
210,RadiantBlade,263,692,174,116,16456,226,35,120,58,63345,12,26789,Diamond
211,TempestPhantom,295,728,184,126,17134,238,38,130,65,67234,13,28067,Diamond
212,SapphireViper,210,549,113,74,13489,189,29,96,48,56789,10,24067,Gold
213,EternalFlame,223,591,130,85,14234,199,30,103,52,60178,11,25356,Platinum
214,StarlightBlade,248,652,157,103,15578,217,33,110,54,61287,11,25778,Platinum
215,LunarShadow,267,697,173,120,16245,231,36,125,62,64876,12,27456,Diamond
216,CrimsonRider,294,743,187,132,17567,242,39,133,67,66987,13,28345,Diamond
217,BlazingSorcerer,203,521,109,72,13123,193,27,91,45,55487,10,23267,Gold
218,FrozenFlare,206,553,117,76,13756,196,29,96,49,58789,10,24579,Platinum
219,AbyssGuardian,220,597,144,98,14967,212,32,108,54,60978,11,25679,Platinum
220,SpectralPhantom,225,624,149,100,15345,219,33,110,55,61789,11,25967,Platinum
